Bar Code            |Material            |Quantity
10000060017000600000,  AFIV09     0001000,             441.000
10000060017000600000,  AFIV09     0001000,            4500.000
10000040011600900000,  AYAD3R     G891000,            2500.000
10000040011500000000,  GA4020     1003000,            1377.000
10000060017000600000,  GA4020     1003000,            1623.000
10000040011500000000,  GAAD15     1003000,            2500.000
10000060017000600000,  GAFP04     2044000,           14455.999
10000040011500000000,    NSSATA     04456,             704.670
725272730706,    PAAG06     00016,             997.820
10000040011500000000,    PAAG08     00016,            1894.840
10000040011500000000,    PAAG08     00066,             792.680
10000040011500000000,    PAAG08     00068,             525.400
10000040011500000000,   STPI01     000155,           19420.000
10000040011500000000,   STPI01     000185,           19764.000
